WeKnora-docreader  | 2026-05-09 07:21:26.443 [8cdd0380-ab05-4216] INFO  __main__             | Read response: content_len=21, images=0 (elapsed: 64ms)
WeKnora-docreader  | 2026-05-09 07:21:26.443 [8cdd0380-ab05-4216] INFO  docreader.utils.request | Request 8cdd0380-ab05-4216-a656-0d7133b7dfa0 completed in 64ms (elapsed: 64ms)
WeKnora-docreader  | 2026-05-09 07:35:11.979 [8adb3f04-c7e1-469b] INFO  docreader.utils.request | Starting new request with ID: 8adb3f04-c7e1-469b-a8f8-3ea613521952 (elapsed: 0ms)
WeKnora-docreader  | 2026-05-09 07:35:11.979 [8adb3f04-c7e1-469b] INFO  __main__             | Read(File): file=交通银行董事会的职责.docx, type=docx, size=10294 bytes (elapsed: 0ms)
WeKnora-docreader  | 2026-05-09 07:35:11.979 [8adb3f04-c7e1-469b] INFO  docreader.parser.parser | Parsing file: 交通银行董事会的职责.docx, type: docx, engine: builtin (elapsed: 0ms)
WeKnora-docreader  | 2026-05-09 07:35:11.979 [8adb3f04-c7e1-469b] INFO  docreader.parser.parser | Creating Docx2Parser parser instance for docx file (elapsed: 0ms)
WeKnora-docreader  | 2026-05-09 07:35:11.979 [8adb3f04-c7e1-469b] INFO  docreader.parser.base_parser | Initializing parser for file=交通银行董事会的职责.docx, type=docx (elapsed: 0ms)
WeKnora-docreader  | 2026-05-09 07:35:11.979 [8adb3f04-c7e1-469b] INFO  docreader.parser.base_parser | Initializing parser for file=交通银行董事会的职责.docx, type=docx (elapsed: 0ms)
WeKnora-docreader  | 2026-05-09 07:35:11.979 [8adb3f04-c7e1-469b] INFO  docreader.parser.base_parser | Initializing parser for file=交通银行董事会的职责.docx, type=docx (elapsed: 0ms)
WeKnora-docreader  | 2026-05-09 07:35:12.007 [8adb3f04-c7e1-469b] INFO  docreader.parser.base_parser | Initializing parser for file=交通银行董事会的职责.docx, type=docx (elapsed: 28ms)
WeKnora-docreader  | 2026-05-09 07:35:12.007 [8adb3f04-c7e1-469b] INFO  docreader.parser.base_parser | Initializing parser for file=交通银行董事会的职责.docx, type=docx (elapsed: 28ms)
WeKnora-docreader  | 2026-05-09 07:35:12.007 [8adb3f04-c7e1-469b] INFO  docreader.parser.base_parser | Initializing parser for file=交通银行董事会的职责.docx, type=docx (elapsed: 28ms)
WeKnora-docreader  | 2026-05-09 07:35:12.007 [8adb3f04-c7e1-469b] INFO  docreader.parser.base_parser | Initializing parser for file=交通银行董事会的职责.docx, type=docx (elapsed: 28ms)
WeKnora-docreader  | 2026-05-09 07:35:12.007 [8adb3f04-c7e1-469b] INFO  docreader.parser.docx_parser | DocxParser initialized with max_pages=100000 (elapsed: 28ms)
WeKnora-docreader  | 2026-05-09 07:35:12.008 [8adb3f04-c7e1-469b] INFO  docreader.parser.parser | Starting to parse file content, size: 10294 bytes (elapsed: 28ms)
WeKnora-docreader  | 2026-05-09 07:35:12.008 [8adb3f04-c7e1-469b] INFO  docreader.parser.base_parser | Parsing document with Docx2Parser, bytes: 10294 (elapsed: 28ms)
WeKnora-docreader  | 2026-05-09 07:35:12.008 [8adb3f04-c7e1-469b] INFO  docreader.parser.chain_parser | FirstParser: using parser MarkitdownParser (elapsed: 28ms)
WeKnora-docreader  | 2026-05-09 07:35:12.008 [8adb3f04-c7e1-469b] INFO  docreader.parser.chain_parser | PipelineParser: using parser StdMarkitdownParser (elapsed: 29ms)
WeKnora-docreader  | 2026-05-09 07:35:12.124 [8adb3f04-c7e1-469b] INFO  docreader.parser.chain_parser | PipelineParser: using parser MarkdownParser (elapsed: 144ms)
WeKnora-docreader  | 2026-05-09 07:35:12.124 [8adb3f04-c7e1-469b] INFO  docreader.parser.chain_parser | PipelineParser: using parser MarkdownTableFormatter (elapsed: 145ms)
WeKnora-docreader  | 2026-05-09 07:35:12.124 [8adb3f04-c7e1-469b] INFO  docreader.parser.chain_parser | PipelineParser: using parser MarkdownImageBase64 (elapsed: 145ms)
WeKnora-docreader  | 2026-05-09 07:35:12.124 [8adb3f04-c7e1-469b] INFO  docreader.parser.chain_parser | FirstParser: parser MarkitdownParser succeeded (elapsed: 145ms)
WeKnora-docreader  | 2026-05-09 07:35:12.124 [8adb3f04-c7e1-469b] INFO  docreader.parser.base_parser | Extracted 21 characters from 交通银行董事会的职责.docx (elapsed: 145ms)
WeKnora-docreader  | 2026-05-09 07:35:12.124 [8adb3f04-c7e1-469b] INFO  docreader.parser.parser | Parsed file 交通银行董事会的职责.docx, content length=21 (elapsed: 145ms)
WeKnora-docreader  | 2026-05-09 07:35:12.124 [8adb3f04-c7e1-469b] INFO  __main__             | Read response: content_len=21, images=0 (elapsed: 145ms)
WeKnora-docreader  | 2026-05-09 07:35:12.124 [8adb3f04-c7e1-469b] INFO  docreader.utils.request | Request 8adb3f04-c7e1-469b-a8f8-3ea613521952 completed in 145ms (elapsed: 145ms)
